# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 1.160000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.200000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.240000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.280000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.320000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.360000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.400000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.440000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.480000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.520000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.560000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.600000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.640000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.680000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.720000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.760000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.800000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.840000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.880000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.920000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.960000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.000000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.040000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.080000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.120000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.160000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.200000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.240000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.280000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.320000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.360000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.400000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.440000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.480000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.520000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.560000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.600000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.640000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.680000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.720000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.760000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.800000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.840000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.880000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.920000E+02 1 7000 0 0 0 1 7000 0 0 7000
 2.960000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.000000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.040000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.080000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.120000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.160000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.200000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.240000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.280000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.320000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.360000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.400000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.440000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.480000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.520000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.560000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.600000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.640000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.680000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.720000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.760000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.800000E+02 1 7000 0 0 0 1 7000 0 0 7000
 3.840000E+02 1 7000 0 0 0 1 7000 0 0 7000
