# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 3.760000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.800000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.840000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.880000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.920000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.960000E+02 0 4700 0 0 0 0 0 4700 0 4700
 4.000000E+02 0 4700 0 0 0 0 0 4700 0 4700

#Simulation ended (eff.: -nan, detail below)
	#Events: 0
	#Valid embedding but no longer unary when required: -nan
	#Valid embedding but not binary when required: -nan
	#Clashing instance: -nan
	#Lazy negative update: -nan
	#Lazy negative update of non local instances: -nan
	#Perturbation interrupting time advance: -nan
